Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference,Rank
Espérance Tunis,1,60,19,3,4,37,16,21,1
Etoile Sportive Du Sahel,2,50,15,5,6,46,26,20,2
US Ben Guerdane,3,41,10,11,5,25,16,9,3
CS Sfaxien,4,40,10,10,6,29,16,13,4
AS Soliman,5,40,11,7,8,35,34,1,5
AS Rejiche,6,36,9,9,8,27,23,4,6
Club Africain,7,33,7,12,7,26,30,-4,7
US Tataouine,8,33,8,9,9,24,30,-6,8
ES Métlaoui,9,32,8,8,10,17,21,-4,9
US Monastir,10,31,8,7,11,28,29,-1,10
Olympique Béja,11,31,7,10,9,25,26,-1,11
CA Bizertin,12,31,8,7,11,21,27,-6,12
Stade Tunisien,13,29,6,11,9,22,22,0,13
JS Kairouanaise,14,3,0,3,23,14,60,-46,14
