Rk,Squad,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Barcelona,88,2.32,75.5,33.2,42.3,1.11
2,Real Madrid,78,2.05,75.5,38.9,36.6,0.96
3,Atlético Madrid,77,2.03,61.9,41.1,20.8,0.55
4,Real Sociedad,71,1.87,52.9,33.0,19.8,0.52
5,Villarreal,64,1.68,61.6,49.9,11.8,0.31
6,Betis,60,1.58,51.3,50.0,1.3,0.03
7,Osasuna,53,1.39,39.8,45.7,-5.9,-0.15
8,Athletic Club,51,1.34,54.2,36.9,17.3,0.46
9,Mallorca,50,1.32,35.2,46.4,-11.2,-0.3
10,Girona,49,1.29,50.6,54.9,-4.3,-0.11
11,Rayo Vallecano,49,1.29,43.9,50.3,-6.4,-0.17
12,Sevilla,49,1.29,46.3,54.2,-7.9,-0.21
13,Celta Vigo,43,1.13,42.6,45.4,-2.8,-0.07
14,Cádiz,42,1.11,41.5,61.6,-20.1,-0.53
15,Getafe,42,1.11,36.7,46.0,-9.4,-0.25
16,Valencia,42,1.11,49.3,43.5,5.8,0.15
17,Almería,41,1.08,45.5,62.5,-17.0,-0.45
18,Valladolid,40,1.05,38.5,65.2,-26.6,-0.7
19,Espanyol,37,0.97,48.3,59.8,-11.5,-0.3
20,Elche,25,0.66,37.5,70.0,-32.6,-0.86
